ID,NAME,LAT(D),LON(D),ALT(M),DATE(YMD),TIME,BAT(v),GPS,RFS(m),RFD(m),T(c),TN(c),TX(C),TNX(C),RH(%),WD1(D),WS1(m/s),WD2(D),WS2(m/s),SLP(hPa),SS(min),ST1(c),SM1(m3/m3),ST2(c),SM2(m3/m3),ST3(c),SM3(m3/m3),ST4(c),SM4(m3/m3),WSM1(m/s),WSM2(m/s)
"10053",Piprakothi,26.542480,84.943000,67.00,2021-02-09,17:45:00,12.8,L,0,0,21.1000000000000014,21.1000000000000014,21.8000000000000007,,62.2999999999999972,83,0.440000000000000002,,,1003.5,,,,,,,,,,0.770000000000000018,
"10052",Pokhara,26.509350,84.841210,69.00,2021-02-09,17:45:00,12.8,L,0,0,19.5,19.5,20.1000000000000014,,67.2999999999999972,338,0,,,-99,,,,,,,,,,0.770000000000000018,
"10011",Karai Parsurai,25.377364,85.271987,56.00,2021-02-09,17:45:00,12.1,L,0,0,21.6000000000000014,21.6000000000000014,22.6000000000000014,,56.2999999999999972,0,0,,,1007.29999999999995,,,,,,,,,,0,
"10041",Rupaliya,26.506080,85.173340,66.00,2021-02-09,17:45:00,12.6,L,0,0,18.8999999999999986,18.8999999999999986,20.1000000000000014,,72.2999999999999972,0,0,,,1006.79999999999995,,,,,,,,,,0,
"10042",Shiraha,26.523540,85.066150,68.00,2021-02-09,17:45:00,12.6,L,0,0,19.1999999999999993,19.1999999999999993,19.8999999999999986,,77.4000000000000057,0,0,,,1006.10000000000002,,,,,,,,,,0,
"10009",Basantpur,26.496582,87.017733,79.00,2021-02-09,17:45:00,12.9,L,0,0,20.3000000000000007,20.3000000000000007,20.8999999999999986,,66.5,288,1.80000000000000004,,,1006.70000000000005,,,,,,,,,,42.9200000000000017,
"10004",Piprahi,26.304627,86.838348,65.00,2021-02-09,17:45:00,12.7,L,0,0,19.5,19.5,20.5,,68.5,0,0,,,1004.20000000000005,,,,,,,,,,0,
"10024",Rahui,25.265680,85.553426,54.00,2021-02-09,17:45:00,12.5,L,0,0,19.3000000000000007,19.3000000000000007,20.1000000000000014,,67.2000000000000028,0,0,,,1009.60000000000002,,,,,,,,,,0,
"10047",Akderi,26.842910,85.006600,77.00,2021-02-09,17:45:00,12.9,L,0,0,19.8000000000000007,19.8000000000000007,20.6000000000000014,,67.2000000000000028,0,0,,,1004,,,,,,,,,,0,
"10050",Hardiya,26.981720,84.843940,84.00,2021-02-09,17:45:00,11.0,L,0,0,19.5,19.5,20.1999999999999993,,63.5,0,0,,,1004.39999999999998,,,,,,,,,,0,
"10030",Motihari,26.644360,84.928330,71.00,2021-02-09,17:45:00,12.8,L,0,0,20.3000000000000007,20.3000000000000007,21.5,,63.2000000000000028,0,0,,,1006.79999999999995,,,,,,,,,,0,
"10012",Ekangarsarai,25.227850,85.227330,61.00,2021-02-09,17:45:00,12.7,L,0,0,19.8000000000000007,19.8000000000000007,20.5,,65.4000000000000057,239,0.0100000000000000002,,,1008.20000000000005,,,,,,,,,,0.390000000000000013,
"10010",Gonura,26.165698,86.475970,54.00,2021-02-09,17:45:00,12.3,L,0,0,19.1999999999999993,19.1999999999999993,20,,71.2000000000000028,0,0,,,1008.29999999999995,,,,,,,,,,0,
"10028",Tharthari,25.289700,85.382524,52.00,2021-02-09,17:45:00,12.8,L,0,0.25,19.8999999999999986,19.8999999999999986,20.6999999999999993,,64.5,0,0,,,1008.60000000000002,,,,,,,,,,0,
"10049",Srichiya,26.934320,84.946214,84.00,2021-02-09,17:45:00,12.5,L,0,0,19.6000000000000014,19.6000000000000014,20.1000000000000014,,62.6000000000000014,0,0,,,761.5,,,,,,,,,,0,
"10006",Tribeniganj,26.130660,86.881828,59.00,2021-02-09,17:45:00,12.7,L,0,0,19.1000000000000014,19.1000000000000014,19.8999999999999986,,70.2999999999999972,0,0,,,1007.29999999999995,,,,,,,,,,0,
"10025",Harnaut,25.366250,85.534480,48.00,2021-02-09,17:45:00,12.6,L,0,0,19.1000000000000014,19.1000000000000014,20.1999999999999993,,66.5,0,0,,,1009.10000000000002,,,,,,,,,,0,
"10021",Asthawan,25.214894,85.621480,53.00,2021-02-09,17:45:00,12.7,L,0,0,20.3000000000000007,20.3000000000000007,21.1999999999999993,,65.0999999999999943,-999,-99.9000000000000057,,,1007.29999999999995,,,,,,,,,,-99.9000000000000057,
"10034",Parsauni,26.623920,84.616650,72.00,2021-02-09,17:45:00,12.7,L,0,0,19.8000000000000007,19.8000000000000007,20.3000000000000007,,71.2000000000000028,0,0,,,1006.29999999999995,,,,,,,,,,0,
"10029",Turkaulia,26.614360,84.826610,71.00,2021-02-09,17:45:00,13.3,L,0,0.25,18.6999999999999993,18.6999999999999993,19.3999999999999986,,68.2000000000000028,0,0,,,1008.89999999999998,,,,,,,,,,0,
"10058",Nagar Nausa,25.392550,85.344230,52.00,2021-02-09,17:45:00,12.6,L,0,0,21.1999999999999993,21.1999999999999993,22.1999999999999993,,58.5,0,0,,,1008,,,,,,,,,,0,
"10003",Saraigarh,26.298908,86.735990,62.00,2021-02-09,17:45:00,12.5,L,0,0,-999,-99.9000000000000057,-99.9000000000000057,,-99.9000000000000057,0,0,,,-999,,,,,,,,,,0,
"10037",North Hussani,26.378500,84.785720,67.00,2021-02-09,17:45:00,12.7,L,0,0,19.1000000000000014,19.1000000000000014,20.6000000000000014,,74.2000000000000028,0,0,,,1007.20000000000005,,,,,,,,,,0,
"10019",Silao,25.086250,85.429740,67.00,2021-02-09,17:45:00,12.6,L,0,0,20,20,20.6999999999999993,,65.7999999999999972,260,0.0599999999999999978,,,1007.10000000000002,,,,,,,,,,0.770000000000000018,
"10007",Chhatapur,26.213155,87.008587,62.00,2021-02-09,18:00:00,12.8,L,0,0,18.1000000000000014,18.1000000000000014,18.8000000000000007,,78.5999999999999943,0,0,,,-99,,,,,,,,,,0,
"10015",Bihar Sharif,25.177497,85.520509,60.00,2021-02-09,18:00:00,12.6,L,0,0,18.8999999999999986,18.8999999999999986,19.6000000000000014,,68.0999999999999943,0,0,,,1008.70000000000005,,,,,,,,,,0,
"10035",Radhiya,26.554420,84.627580,67.00,2021-02-09,18:00:00,12.1,L,0,0,19,19,19.3999999999999986,,70.5999999999999943,0,0,,,1008.20000000000005,,,,,,,,,,0,
"10048",Bankatwa,26.799485,85.042796,76.00,2021-02-09,18:00:00,12.6,L,0,0,18.8000000000000007,18.8000000000000007,19.8999999999999986,,71,0,0,,,-999,,,,,,,,,,0,
"10038",Kalyanpur,26.432855,84.925760,66.00,2021-02-09,18:00:00,13.0,L,0,0,18.3000000000000007,18.3000000000000007,19.1999999999999993,,68.5999999999999943,0,0,,,1005.20000000000005,,,,,,,,,,0,
"10046",Chiraia,26.701710,85.075720,73.00,2021-02-09,18:00:00,12.6,L,0,0,19.3000000000000007,19.1000000000000014,19.3999999999999986,,72.5999999999999943,0,0,,,-999,,,,,,,,,,0,
"10005",Pipra,26.163217,86.799423,57.00,2021-02-09,18:00:00,12.7,L,0,0,18.6999999999999993,18.6999999999999993,19.6000000000000014,,71.5999999999999943,0,0,,,1009,,,,,,,,,,0,
"10026",Chandi,25.320310,85.409290,56.00,2021-02-09,18:00:00,12.7,L,0,0,17.3999999999999986,17.3999999999999986,18.5,,73.7000000000000028,267,0,,,1010.10000000000002,,,,,,,,,,0,
"10044",Dhaka,26.671040,85.156620,73.00,2021-02-09,18:00:00,12.7,L,0,0,20.6000000000000014,20.6000000000000014,21.3999999999999986,,60,0,0,,,1006,,,,,,,,,,0,
"10016",Adhampur,25.036102,85.528875,70.00,2021-02-09,18:00:00,12.1,L,0,0,19.6000000000000014,19.5,19.6000000000000014,,72.4000000000000057,229,0.28999999999999998,,,1006.70000000000005,,,,,,,,,,0.770000000000000018,
"10027",Noorsarai,25.267580,85.459110,54.00,2021-02-09,18:00:00,12.7,L,0,0,18.6000000000000014,18.6000000000000014,19,,73.2999999999999972,0,0,,,1009,,,,,,,,,,0,
"10002",Kishanpur,26.213383,86.679374,59.00,2021-02-09,18:00:00,12.6,L,0,0,19.5,19.5,20.1000000000000014,,68.4000000000000057,0,0,,,1007.79999999999995,,,,,,,,,,0,
"10032",South Sugnaw,26.720150,84.766950,74.00,2021-02-09,18:00:00,13.3,L,0,0,18.1999999999999993,18.1999999999999993,18.8000000000000007,,73.9000000000000057,0,0,,,1006.29999999999995,,,,,,,,,,0,
"10043",Patahi,26.561810,85.141017,69.00,2021-02-09,18:00:00,12.8,L,0,0,18,18,18.3999999999999986,,72.2000000000000028,-99,-99,,,1007.29999999999995,,,,,,,,,,-99,
"10045",Ghorasahan,26.797060,85.130824,78.00,2021-02-09,18:00:00,12.3,L,0,0,19.1999999999999993,19.1999999999999993,19.8999999999999986,,72.5,0,0,,,1007.10000000000002,,,,,,,,,,0,
"10055",Devajit Parsauni,26.338150,85.088000,65.00,2021-02-09,18:00:00,12.7,L,0,0,18.3999999999999986,18.3999999999999986,19.1999999999999993,,76,0,0,,,1007.60000000000002,,,,,,,,,,0,
"10017",Katrisarai,25.086580,85.634330,62.00,2021-02-09,18:00:00,12.7,L,0,0,18.3999999999999986,18.3999999999999986,19.1999999999999993,,78.4000000000000057,0,0,,,760,,,,,,,,,,0,
"10001",Supaul,26.127456,86.605336,52.00,2021-02-09,18:00:00,12.2,L,0,0,20.8000000000000007,20.8000000000000007,21,,56.8999999999999986,0,0,,,1008.5,,,,,,,,,,0,
"10036",North Bariariya,26.486060,84.708578,66.00,2021-02-09,18:00:00,12.7,L,0,0,20.8000000000000007,20.8000000000000007,21.1000000000000014,,68.7999999999999972,-99,-99,,,1005.89999999999998,,,,,,,,,,-99,
"10053",Piprakothi,26.542480,84.943000,67.00,2021-02-09,18:00:00,12.7,L,0,0,20.3999999999999986,20.3999999999999986,21,,64.5,74,0.540000000000000036,,,1003.89999999999998,,,,,,,,,,0.770000000000000018,
"10051",Ramgarhwa,26.875030,84.791200,76.00,2021-02-09,18:00:00,12.7,L,0,0,-99,-99,-99,,-99,-99,-99,,,-99,,,,,,,,,,-99,
"10018",Rajgir,25.035110,85.422188,69.00,2021-02-09,18:00:00,12.6,L,0,0,18.8999999999999986,18.8999999999999986,19.3999999999999986,,66.5999999999999943,0,0,,,1007.29999999999995,,,,,,,,,,0,
"10033",Harsidhi,26.672680,84.718820,77.00,2021-02-09,18:00:00,12.9,L,0,0,46.7999999999999972,46.7999999999999972,46.7999999999999972,,0.100000000000000006,0,0,,,-99,,,,,,,,,,0,
"10042",Shiraha,26.523540,85.066150,68.00,2021-02-09,18:00:00,12.6,L,0,0,18.1000000000000014,18.1000000000000014,19.1999999999999993,,80.2999999999999972,0,0,,,1006.5,,,,,,,,,,0,
"10057",Induat,25.312119,85.309134,60.00,2021-02-09,18:00:00,12.7,L,0,0,19.8000000000000007,19.8000000000000007,20.5,,66.2000000000000028,41,2.33000000000000007,,,1008,,,,,,,,,,44.8500000000000014,
"10041",Rupaliya,26.506080,85.173340,66.00,2021-02-09,18:00:00,12.5,L,0,0,18.3000000000000007,18.3000000000000007,18.8000000000000007,,75,0,0,,,1007.20000000000005,,,,,,,,,,0,
"10011",Karai Parsurai,25.377364,85.271987,56.00,2021-02-09,18:00:00,12.1,L,0,0,20.8999999999999986,20.8999999999999986,21.6000000000000014,,58.5,0,0,,,1007.29999999999995,,,,,,,,,,0,
"10009",Basantpur,26.496582,87.017733,79.00,2021-02-09,18:00:00,12.8,L,0,0,19.8000000000000007,19.8000000000000007,20.3000000000000007,,68.5999999999999943,267,2.25999999999999979,,,1006.79999999999995,,,,,,,,,,42.9200000000000017,
"10047",Akderi,26.842910,85.006600,77.00,2021-02-09,18:00:00,12.9,L,0,0,18.8999999999999986,18.8999999999999986,19.6999999999999993,,71.5999999999999943,0,0,,,1004.39999999999998,,,,,,,,,,0,
"10050",Hardiya,26.981720,84.843940,84.00,2021-02-09,18:00:00,11.0,L,0,0,18.6999999999999993,18.6999999999999993,19.3999999999999986,,67.0999999999999943,0,0,,,1004.70000000000005,,,,,,,,,,0,
"10030",Motihari,26.644360,84.928330,71.00,2021-02-09,18:00:00,12.7,L,0,0,19.1000000000000014,19.1000000000000014,20.1999999999999993,,67.5999999999999943,0,0,,,1007.10000000000002,,,,,,,,,,0,
"10023",Sarmera,25.261097,85.798626,44.00,2021-02-09,18:00:00,12.6,L,0,0,22,22,22.5,,56.5,0,0,,,1009.10000000000002,,,,,,,,,,0,
"10012",Ekangarsarai,25.227850,85.227330,61.00,2021-02-09,18:00:00,12.6,L,0,0,18.8999999999999986,18.8999999999999986,19.8000000000000007,,68.4000000000000057,239,0.0100000000000000002,,,1008.29999999999995,,,,,,,,,,0.390000000000000013,
"10010",Gonura,26.165698,86.475970,54.00,2021-02-09,18:00:00,12.2,L,0,0,18.3999999999999986,18.3999999999999986,19.1000000000000014,,75.2999999999999972,0,0,,,1008.5,,,,,,,,,,0,
"10049",Srichiya,26.934320,84.946214,84.00,2021-02-09,18:00:00,12.5,L,0,0,18.8999999999999986,18.8999999999999986,19.6000000000000014,,65.9000000000000057,0,0,,,761.5,,,,,,,,,,0,
"10024",Rahui,25.265680,85.553426,54.00,2021-02-09,18:00:00,12.6,L,0,0,18.3000000000000007,18.3000000000000007,19.1999999999999993,,70.2999999999999972,0,0,,,1009.89999999999998,,,,,,,,,,0,
"10040",Tetaria,26.388950,85.190240,65.00,2021-02-09,18:00:00,12.7,L,0,0,19.8999999999999986,19.8999999999999986,20.6000000000000014,,67.7000000000000028,0,0,,,1006.10000000000002,,,,,,,,,,0,
"10006",Tribeniganj,26.130660,86.881828,59.00,2021-02-09,18:00:00,12.6,L,0,0,18.3000000000000007,18.3000000000000007,19,,72.9000000000000057,0,0,,,1007.20000000000005,,,,,,,,,,0,
"10028",Tharthari,25.289700,85.382524,52.00,2021-02-09,18:00:00,12.9,L,0,0.25,18.8000000000000007,18.8000000000000007,19.8000000000000007,,66.7000000000000028,0,0,,,1008.79999999999995,,,,,,,,,,0,
"10025",Harnaut,25.366250,85.534480,48.00,2021-02-09,18:00:00,12.5,L,0,0,18.1000000000000014,18.1000000000000014,19,,69.7000000000000028,0,0,,,1009.39999999999998,,,,,,,,,,0,
"10034",Parsauni,26.623920,84.616650,72.00,2021-02-09,18:00:00,12.7,L,0,0,18.8999999999999986,18.8999999999999986,19.8000000000000007,,72,0,0,,,1006.70000000000005,,,,,,,,,,0,
"10022",Bind,25.311559,85.692711,46.00,2021-02-09,18:00:00,12.5,L,0,0,19.6000000000000014,19.6000000000000014,20,,67.4000000000000057,0,0,,,-999,,,,,,,,,,0,
"10003",Saraigarh,26.298908,86.735990,62.00,2021-02-09,18:00:00,12.6,L,0,0,-999,-99.9000000000000057,-99.9000000000000057,,-99.9000000000000057,0,0,,,-999,,,,,,,,,,0,
"10037",North Hussani,26.378500,84.785720,67.00,2021-02-09,18:00:00,12.7,L,0,0,18.1000000000000014,18.1000000000000014,19,,78.5999999999999943,0,0,,,1007.5,,,,,,,,,,0,
"10058",Nagar Nausa,25.392550,85.344230,52.00,2021-02-09,18:00:00,12.5,L,0,0,20.5,20.5,21.1000000000000014,,62.7000000000000028,0,0,,,1008,,,,,,,,,,0,
"10019",Silao,25.086250,85.429740,67.00,2021-02-09,18:00:00,12.5,L,0,0,19.3000000000000007,19.3000000000000007,19.8999999999999986,,67,260,0,,,1007.39999999999998,,,,,,,,,,0.390000000000000013,
"10052",Pokhara,26.509350,84.841210,69.00,2021-02-09,18:15:00,12.7,L,0,0,18,18,18.5,,73.5999999999999943,338,0,,,-99,,,,,,,,,,0.390000000000000013,
"10015",Bihar Sharif,25.177497,85.520509,60.00,2021-02-09,18:15:00,12.5,L,0,0,18.5,18.5,18.8999999999999986,,71.7000000000000028,0,0,,,1008.79999999999995,,,,,,,,,,0,
