clientid,longitude,altitude,latitude,location,date,time1,rain,battery
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 01:00:00,01:00:00,0,12.7
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 01:15:00,01:15:00,0,12.6
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 01:30:00,01:30:00,0,12.5
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 01:45:00,01:45:00,0,12.7
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 02:00:00,02:00:00,0,12.6
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 02:15:00,02:15:00,0,12.5
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 02:30:00,02:30:00,0,12.6
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 02:45:00,02:45:00,0,12.6
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 03:00:00,03:00:00,0,12.6
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 03:15:00,03:15:00,0,12.6
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 06:15:00,06:15:00,0,12.5
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 06:30:00,06:30:00,0,12.7
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 07:00:00,07:00:00,0,12.7
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 07:15:00,07:15:00,0,12.8
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 08:00:00,08:00:00,0,13.1
10048,85.042796,76.00,26.799485,Bankatwa,10/06/2020 08:30:00,08:30:00,0,13.0
