ID,NAME,LAT(D),LON(D),ALT(M),DATE(YMD),TIME,BAT(v),GPS,RFS(m),RFD(m),T(c),TN(c),TX(C),TNX(C),RH(%),WD1(D),WS1(m/s),WD2(D),WS2(m/s),SLP(hPa),SS(min),ST1(c),SM1(m3/m3),ST2(c),SM2(m3/m3),ST3(c),SM3(m3/m3),ST4(c),SM4(m3/m3),WSM1(m/s),WSM2(m/s)
"10046",Chiraia,26.701710,85.075720,73.00
"10039",Madhuban,26.451580,85.154070,63.00
"10002",Kishanpur,26.213383,86.679374,59.00
"10038",Kalyanpur,26.432855,84.925760,66.00
"10028",Tharthari,25.289700,85.382524,52.00
"10045",Ghorasahan,26.797060,85.130824,78.00
"10043",Patahi,26.561810,85.141017,69.00
"10044",Dhaka,26.671040,85.156620,73.00
"10018",Rajgir,25.035110,85.422188,69.00
"10032",South Sugnaw,26.720150,84.766950,74.00
"10055",Devajit Parsauni,26.338150,85.088000,65.00
"10020",Shankardi,25.224060,85.374700,56.00
"10016",Adhampur,25.036102,85.528875,70.00
"10022",Bind,25.311559,85.692711,46.00
"10042",Shiraha,26.523540,85.066150,68.00
"10052",Pokhara,26.509350,84.841210,69.00
"10053",Piprakothi,26.542480,84.943000,67.00
"10017",Katrisarai,25.086580,85.634330,62.00
"10015",Bihar Sharif,25.177497,85.520509,60.00
"10033",Harsidhi,26.672680,84.718820,77.00
"10024",Rahui,25.265680,85.553426,54.00
"10037",North Hussani,26.378500,84.785720,67.00
"10004",Piprahi,26.304627,86.838348,65.00
"10009",Basantpur,26.496582,87.017733,79.00
"10026",Chandi,25.320310,85.409290,56.00
"10010",Gonura,26.165698,86.475970,54.00
"10023",Sarmera,25.261097,85.798626,44.00
"10001",Supaul,26.127456,86.605336,52.00
"10047",Akderi,26.842910,85.006600,77.00
"10040",Tetaria,26.388950,85.190240,65.00
"10041",Rupaliya,26.506080,85.173340,66.00
"10008",Sukha Nagar,26.286834,86.936127,64.00
"10025",Harnaut,25.366250,85.534480,48.00
"10031",Ajagari,26.696300,84.883790,68.00
